  [0] 5(-1) : (0.000000, 0.000000) - 0.000000
  [1] 3(0) : (-883.466667, -440.466667) - 658.119961 - 658.119961
  [2] 0(0) : (-883.466667, -440.466667) - 668.119961 - 10 
  [3] 1(0) : (-883.466667, -440.466667) - 1671.743973 - 1003.624012
  [4] 3(1) : (-562.950000, 2653.650000) - 3745.526227 - 2073.782254
  [5] 0(0) : (-562.950000, 2653.650000) - 3755.526227 - 10 
  [6] 1(0) : (-562.950000, 2653.650000) - 4201.027073 - 445.500846
  [7] 4(-1) : (0.000000, 0.000000) - 6009.497394 - 1808.470321
  [8] 5(-1) : (0.000000, 0.000000) - 6309.497394 - 300
  [9] 6(-1) : (0.000000, 0.000000) - 6309.497394 - 0

$ ../../build/patrolling-solver ../Exp_01/plot_1_2_5_1.yaml 4
  [12] 5(-1) : (0.000000, 0.000000) - 0.000000
  [13] 3(0) : (-883.466667, -440.466667) - 658.119961 
  [14] 0(0) : (-883.466667, -440.466667) - 668.119961  
  [15] 1(0) : (-883.466667, -440.466667) - 1671.743973 
  [16] 3(1) : (-562.950000, 2653.650000) - 3745.526227 
  [17] 0(0) : (-562.950000, 2653.650000) - 3755.526227 
  [18] 1(0) : (-562.950000, 2653.650000) - 4201.027073 
  [19] 3(0) : (-883.466667, -440.466667) - 6274.809327
  [20] 0(0) : (-883.466667, -440.466667) - 6284.809327
  [21] 1(0) : (-883.466667, -440.466667) - 7288.433339
  [22] 3(1) : (-562.950000, 2653.650000) - 9362.215593
  [23] 0(0) : (-562.950000, 2653.650000) - 9372.215593
  [24] 1(0) : (-562.950000, 2653.650000) - 9817.716440
  [25] 3(0) : (-883.466667, -440.466667) - 11891.49869
  [26] 0(0) : (-883.466667, -440.466667) - 11901.49869
  [27] 1(0) : (-883.466667, -440.466667) - 12905.1227
  [28] 3(1) : (-562.950000, 2653.650000) - 14978.90495
  [29] 0(0) : (-562.950000, 2653.650000) - 14988.90495
  [30] 1(0) : (-562.950000, 2653.650000) - 15434.4058
  [31] 4(-1) : (0.000000, 0.000000) - 17242.87612
  [32] 5(-1) : (0.000000, 0.000000) - 17542.87612
  [33] 6(-1) : (0.000000, 0.000000) - 17542.87612
